Crop,State,Soil_Type,Season,Crop_Water_Requirement_mm,Rainfall_mm,Effective_Rainfall_mm,Irrigation_Efficiency,Net_Irrigation_Requirement_mm,Recommended_Water_mm,Potential_Water_Saving_Percent,Water_Saving_Method,Farm_Area_Hectares,Recommended_Water_m3
Wheat,Punjab,Clay,Rabi,621.72,1330.92,497.38,0.675,74.61,110.46,40.72,Alternate Wetting and Drying,7.69,8494.37
Onion,Telangana,Sandy,Rabi,424.16,1686.49,339.33,0.824,135.73,164.75,29.54,Drip Irrigation,67.83,111749.92
Tomato,Uttar Pradesh,Loamy,Kharif,565.53,1229.08,452.42,0.855,113.11,132.34,42.86,Controlled Irrigation,33.14,43857.48
Wheat,Tamil Nadu,Clay,Rabi,488.93,973.42,391.14,0.662,58.67,88.65,39.9,Alternate Wetting and Drying,25.17,22313.2
Potato,Karnataka,Alluvial,Rabi,474.09,977.81,379.27,0.701,75.85,108.19,29.54,Alternate Wetting / Controlled Irrigation,11.06,11965.81
Jute,Punjab,Loamy,Kharif,709.29,1540.65,567.43,0.839,141.86,169.06,41.1,Controlled Irrigation,54.77,92594.16
Pigeonpea,Uttar Pradesh,Red,Kharif,586.5,466.62,257.67,0.704,358.15,508.76,29.67,Drip or Sprinkler Irrigation,77.75,395560.9
Groundnut,Punjab,Red,Kharif,576.29,1460.13,461.03,0.774,144.07,186.16,27.29,Drip or Sprinkler Irrigation,99.05,184391.48
Onion,Kerala,Red,Kharif,463.05,1435.75,370.44,0.821,115.76,140.94,31.08,Drip or Sprinkler Irrigation,9.73,13713.46
Mustard,Himachal Pradesh,Loamy,Rabi,342.92,883.22,274.33,0.88,68.58,77.9,30.63,Controlled Irrigation,64.39,50159.81
Onion,Karnataka,Red,Rabi,461.41,1465.04,369.13,0.829,115.35,139.08,28.34,Drip or Sprinkler Irrigation,56.89,79122.61
Soybean,Andhra Pradesh,Loamy,Kharif,522.51,1369.66,418.01,0.775,104.5,134.89,28.05,Controlled Irrigation,47.78,64450.44
Tomato,Karnataka,Alluvial,Rabi,476.2,717.34,380.96,0.82,76.19,92.9,27.36,Alternate Wetting / Controlled Irrigation,39.92,37085.68
Jute,Jharkhand,Loamy,Kharif,774.93,662.1,518.84,0.912,256.09,280.9,33.99,Controlled Irrigation,37.32,104831.88
Cabbage,Haryana,Red,Rabi,369.28,1649.03,295.42,0.773,92.32,119.42,36.58,Drip or Sprinkler Irrigation,88.33,105483.69
Banana,Kerala,Loamy,Kharif,1303.41,1365.17,1007.76,0.767,295.65,385.63,38.0,Controlled Irrigation,92.88,358173.14
Lentil,Assam,Alluvial,Rabi,362.37,314.5,204.1,0.783,143.78,183.54,27.07,Alternate Wetting / Controlled Irrigation,71.18,130643.77
Cotton,Tamil Nadu,Loamy,Kharif,827.54,1150.64,662.03,0.744,165.51,222.56,44.17,Controlled Irrigation,67.09,149315.5
Cotton,Kerala,Loamy,Kharif,784.82,378.23,263.71,0.781,521.11,666.9,33.45,Controlled Irrigation,19.41,129445.29
Cotton,Madhya Pradesh,Loamy,Kharif,630.09,763.93,504.07,0.791,126.02,159.4,41.53,Controlled Irrigation,43.94,70040.36
Tomato,Madhya Pradesh,Loamy,Kharif,510.81,418.29,265.35,0.832,245.46,295.19,26.49,Controlled Irrigation,25.4,74978.26
Maize,Uttarakhand,Alluvial,Rabi,526.94,1669.82,421.55,0.712,84.31,118.39,32.42,Alternate Wetting / Controlled Irrigation,3.61,4273.88
Barley,Telangana,Loamy,Rabi,471.24,741.57,376.99,0.907,94.25,103.88,30.12,Controlled Irrigation,31.3,32514.44
Carrot,Chhattisgarh,Loamy,Rabi,308.98,924.4,247.19,0.918,61.8,67.32,42.82,Controlled Irrigation,25.57,17213.72
Cotton,Uttar Pradesh,Black,Kharif,705.66,739.69,553.66,0.858,137.89,160.63,26.89,Drip Irrigation,88.42,142029.05
Millet,Jharkhand,Loamy,Kharif,487.36,623.5,389.89,0.683,97.47,142.68,28.59,Controlled Irrigation,55.42,79073.26
Groundnut,Maharashtra,Loamy,Kharif,618.64,554.47,434.28,0.734,184.36,251.25,35.01,Controlled Irrigation,12.52,31456.5
Onion,Andhra Pradesh,Loamy,Kharif,395.93,454.32,266.48,0.833,129.45,155.4,38.89,Controlled Irrigation,14.31,22237.74
Barley,Karnataka,Alluvial,Rabi,470.62,1358.88,376.49,0.85,75.3,88.64,43.55,Alternate Wetting / Controlled Irrigation,19.95,17683.68
Cotton,Jharkhand,Black,Kharif,640.28,1007.31,512.23,0.829,115.25,139.03,43.5,Drip Irrigation,88.31,122777.39
Tomato,Maharashtra,Loamy,Kharif,526.8,414.14,279.85,0.688,246.95,358.99,34.16,Controlled Irrigation,82.23,295197.48
Cotton,Chhattisgarh,Loamy,Kharif,791.31,974.44,541.16,0.862,250.15,290.24,41.59,Controlled Irrigation,13.43,38979.23
Cabbage,Tamil Nadu,Loamy,Rabi,396.53,1072.69,317.22,0.814,79.31,97.47,33.25,Controlled Irrigation,60.33,58803.65
Maize,Karnataka,Sandy,Rabi,662.98,1594.61,530.39,0.773,212.15,274.62,39.92,Drip Irrigation,58.42,160433.0
Pigeonpea,West Bengal,Loamy,Kharif,463.31,1171.37,370.65,0.689,92.66,134.4,27.88,Controlled Irrigation,56.83,76379.52
Maize,Maharashtra,Alluvial,Rabi,571.18,488.1,271.55,0.681,276.78,406.32,28.49,Alternate Wetting / Controlled Irrigation,51.39,208807.85
Cotton,Assam,Alluvial,Kharif,727.34,1305.11,581.87,0.756,116.37,153.88,42.5,Alternate Wetting / Controlled Irrigation,21.34,32837.99
Barley,Madhya Pradesh,Alluvial,Rabi,377.22,616.95,301.78,0.717,60.36,84.14,25.99,Alternate Wetting / Controlled Irrigation,28.12,23660.17
Rice,Jharkhand,Clay,Kharif,1257.13,407.59,230.53,0.875,926.03,1058.28,33.12,Alternate Wetting and Drying,4.58,48469.22
Soybean,Telangana,Black,Kharif,725.66,1768.33,580.53,0.867,130.62,150.74,40.58,Drip Irrigation,32.43,48884.98
Pigeonpea,Bihar,Loamy,Kharif,557.21,1047.05,445.77,0.882,111.44,126.42,37.79,Controlled Irrigation,93.01,117583.24
Sugarcane,Assam,Loamy,Kharif,1538.94,896.18,591.71,0.713,947.23,1328.9,19.16,Controlled Irrigation,70.5,936874.5
Maize,Karnataka,Alluvial,Kharif,671.44,710.16,537.15,0.906,107.43,118.55,31.57,Alternate Wetting / Controlled Irrigation,71.57,84846.24
Potato,Madhya Pradesh,Sandy,Rabi,569.71,1261.51,455.77,0.867,182.31,210.23,30.76,Drip Irrigation,38.28,80476.04
