Disease,Crop,Sensitivity,Symptoms,Treatment,Pesticide,Prevention,Recommendation
Pepper__bell___Bacterial_spot,Pepper,High,"Small dark water-soaked spots on leaves and fruit","Remove severely infected plant parts and improve field sanitation","Use a locally approved copper-based bactericide/fungicide according to the product label","Use disease-free seed and transplants, avoid overhead irrigation, maintain plant spacing, and remove infected debris","Monitor plants regularly and begin control measures at the first confirmed symptoms"
Pepper__bell___healthy,Pepper,None,"No significant disease symptoms detected","No disease treatment required","No pesticide required for disease control","Maintain balanced irrigation, nutrition, sanitation, and regular crop monitoring","Continue routine crop monitoring"
Potato___Early_blight,Potato,High,"Dark brown circular lesions with concentric rings on older leaves","Remove infected foliage where practical and maintain good crop sanitation","Use an approved fungicide according to local agricultural guidance and product label","Use healthy planting material, rotate crops, remove infected residues, and avoid prolonged leaf wetness","Monitor lower leaves closely and act early when symptoms appear"
Potato___healthy,Potato,None,"No significant disease symptoms detected","No disease treatment required","No pesticide required for disease control","Maintain good irrigation, nutrition, sanitation, and crop rotation","Continue routine monitoring"
Potato___Late_blight,Potato,Very High,"Dark water-soaked lesions that can rapidly expand on leaves and stems","Remove affected plant material where appropriate and manage moisture carefully","Use an approved late-blight fungicide according to local agricultural guidance and product label","Use healthy seed, improve air circulation, avoid prolonged leaf wetness, and remove infected residues","Monitor weather and crop conditions closely because late blight can spread rapidly"
Tomato_Bacterial_spot,Tomato,High,"Small dark spots on leaves, stems, and fruit","Remove badly affected plant material and improve sanitation","Use a locally approved copper-based treatment according to the product label","Use clean seed and transplants, avoid overhead irrigation, sanitize tools, and remove infected debris","Inspect new growth and fruit regularly for expanding spots"
Tomato_Early_blight,Tomato,High,"Brown lesions with concentric rings, commonly beginning on older leaves","Remove affected leaves where practical and improve crop sanitation","Use an approved fungicide according to local agricultural guidance and product label","Use crop rotation, adequate plant spacing, mulch, and avoid prolonged leaf wetness","Start monitoring older leaves early in the season"
Tomato_healthy,Tomato,None,"No significant disease symptoms detected","No disease treatment required","No pesticide required for disease control","Maintain balanced irrigation, nutrition, spacing, and sanitation","Continue routine monitoring"
Tomato_Late_blight,Tomato,Very High,"Water-soaked dark lesions that can rapidly enlarge on leaves and stems","Remove affected plant material where appropriate and reduce prolonged leaf wetness","Use an approved late-blight fungicide according to local agricultural guidance and product label","Improve air circulation, avoid overhead irrigation, remove infected residues, and monitor weather conditions","Take action quickly after confirmed symptoms because the disease can spread rapidly"
Tomato_Leaf_Mold,Tomato,High,"Yellow areas on upper leaf surfaces with olive or grayish fungal growth underneath","Remove severely affected leaves and improve ventilation","Use an approved fungicide according to local agricultural guidance and product label","Improve greenhouse ventilation, reduce humidity, increase spacing, and avoid prolonged leaf wetness","Pay particular attention to humid and poorly ventilated conditions"
Tomato_Septoria_leaf_spot,Tomato,High,"Small circular leaf spots with dark margins and pale centers","Remove infected lower leaves where practical and improve sanitation","Use an approved fungicide according to local agricultural guidance and product label","Remove crop debris, use mulch, maintain spacing, and avoid splashing water onto foliage","Inspect lower leaves regularly and remove early infected material"
Tomato_Spider_mites_Two_spotted_spider_mite,Tomato,High,"Fine stippling, yellowing, webbing, and leaf decline","Use integrated pest management and remove heavily affected material where appropriate","Use an appropriate locally registered miticide only when needed and follow the product label","Reduce plant stress, monitor leaf undersides, conserve beneficial organisms, and avoid unnecessary broad-spectrum pesticide use","Check the underside of leaves regularly, especially during hot and dry conditions"
Tomato__Target_Spot,Tomato,High,"Brown circular lesions that may enlarge and develop target-like patterns","Remove affected foliage where practical and improve sanitation","Use an approved fungicide according to local agricultural guidance and product label","Maintain spacing, improve air circulation, reduce prolonged leaf wetness, and remove infected debris","Monitor leaves and fruit closely for expanding lesions"
Tomato__Tomato_mosaic_virus,Tomato,Very High,"Mosaic or mottled leaf patterns, distortion, and reduced plant growth","There is no curative pesticide treatment for an infected plant; remove affected plants where appropriate","No pesticide cures the virus; manage insect vectors if relevant using locally approved measures and label directions","Use clean planting material, sanitize tools and hands, control weeds, and remove infected plants appropriately","Use strict sanitation and avoid spreading sap between plants"
Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato,Very High,"Yellowing, upward leaf curling, stunting, and reduced growth","Remove severely infected plants where appropriate and manage vector populations","No pesticide cures the virus; manage whitefly vectors using integrated pest management and locally approved products","Use healthy transplants, control weeds and whiteflies, use suitable barriers where practical, and remove infected plants appropriately","Monitor whitefly populations and young plants frequently"
